State;Sex;Title;Reward;Description;Link;Additional;Fields of study
Virginia;Male;Underwood-Smith Teacher Scholarship Program;$5,000;"
The Underwood-Smith Teacher Scholarship Program is a student financial aid program designed to enable and encourage students to pursue teaching careers at the pre-school, elementary, middle or secondary school level.";https://www.cfwv.com/Financial_Aid_Planning/Scholarships/Scholarships_and_Grants/Underwood_Smith_Teacher_Scholarship_Program.aspx;Generic;Any Major
Virginia;Male;West Virginia Engineering, Science and Technology Scholarship Program;$3,000;"
West Virginia Engineering, Science and Technology Scholarship Program is a student financial aid program designed to enable and encourage academically talented individuals to pursue careers in the fields of engineering, science and technology. Scholarships, not to exceed $3,000 per academic year, are awarded on the basis of academic qualifications and interest in the fields of engineering, science and technology.";https://www.cfwv.com/Financial_Aid_Planning/Scholarships/Scholarships_and_Grants/WV_Engineering_Science_and_Tech_Scholarship_Program.aspx;Generic;Any Major
Virginia;Male;West Virginia PROMISE Scholarship;$4,750;"
The PROMISE Scholarship is a merit-based financial aid program for West Virginia residents. Students who achieve certain academic goals are eligible to receive funds to help pay for college.";https://www.cfwv.com/Financial_Aid_Planning/Scholarships/Scholarships_and_Grants/West_Virginia_PROMISE.aspx;Generic;Any Major
Virginia;Male;Granville P. Meade Scholarship;$2,000;The Granville P. Meade Scholarship provides financial assistance to students who have achieved academically, but who are financially unable to attend college. The Granville P. Meade fund provides scholarship awards to worthy and financially disadvantaged Virginia high school seniors to attend one of Virginia's public or private colleges or universities.;http://www.doe.virginia.gov/instruction/virginia_scholarships/granville_meade/index.shtml;Generic;Any Major
Virginia;Male;Virginia Tuition Assistance Grant;$3,300;"
Established in 1972, the Tuition Assistance Grant Program (VTAG) is designed to assist Virginia residents who attend accredited private, nonprofit colleges and universities in Virginia for other than religious training or theological education.";http://www.schev.edu/index/tuition-aid/financialaid/state-student-aid/tuition-assistance-grant-program;Generic;Any Major
Virginia;Male;Foster Children Tuition Grant;Varies;"
Tuition grants are available for students who were in foster care, custody of social services and special needs adoptees at time of graduation or GED, and attend a Virginia Community College.";Foster Children Tuition Grant;Generic;Any Major
Virginia;Male;Senior Citizens Tuition Waver;Varies;A senior citizen may take courses without paying tuition or required fees, except for course materials, under certain conditions. If the senior citizen has taxable income of not more than $23,850 in the preceding year, the individual may take a course for academic credit free of tuition and fees, except for fees established for the purpose of paying for course materials, such as laboratory fees. A senior citizen, regardless of income level, may audit a course that is given for academic credit or take a noncredit course free of tuition and fees, except for fees established for the purpose of paying for course materials, such as laboratory fees.;http://www.schev.edu/docs/default-source/tuition-aid-section/undergrad-grad-financial-aid/senior-citizen-tuition-waiver.pdf;Senior Citizen;Any Major
Virginia;Male;The Virginia Museum of Fine Arts Fellowship Program;$8,000;The Virginia Museum of Fine Arts Fellowship Program is a vital source of funding for the visual arts and art history in Virginia. VMFA is committed to supporting professional artists as well as art and art history students who demonstrate exceptional creative ability in their chosen discipline and, as such, has awarded nearly $5.5 million in Fellowships to Virginians.;http://vmfa.museum/programs/college/visual-arts-fellowships/;Generic;"
Visual Arts, Fine Arts, Art"
Virginia;Male;theWashBoard.org Combined Scholarship Application;Varies;"
TheWashBoard.org is a free, student-centered, online clearinghouse for Washington students seeking college scholarships. This user-friendly site allows students to search and apply for scholarship opportunities that are specific to their academic interests, college, university, or other criteria.";https://fortress.wa.gov/hecb/thewashboard/login.aspx;Generic;Any Major
Virginia;Male;Tobacco Region Scholarship Program;Varies;"
The Virginia Tobacco Indemnification and Community Revitalization Commission (Tobacco Commission) established a Bachelor's Degree scholarship program in 2002 to strengthen the economies of Southwest (SW) and Southside (SS) Virginia through education and training of its citizens. The Tobacco Region Scholarship Program provides assistance with tuition for eligible students who live in one of the SW localities or SS localities and who are enrolled in a Bachelor's Degree program at an accredited 4-year college or university, whether public or private, in-state or out-of-state.";https://www.ticscholarshiploan.org/;Generic;Any Major
Virginia;Male;Two-Year College Transfer Grant;$2,000;"
The Two-Year College Transfer Grant Program (CTG) provides an incentive for students to first complete an associate degree at a Virginia public two-year college before transferring to a participating Virginia four-year college or university as a means to reduce the overall cost towards completing a bachelor's degree.";http://www.schev.edu/docs/default-source/tuition-aid-section/financial-aid/two-year-college-transfer-grant-application-1718.pdf;Generic;Any Major
Virginia;Male;Virginia Child Care Provider Scholarship;Varies;The purpose of this tuition assistance program is to offer child care providers foundational knowledge and skills in the care and development of children. Funded by the federal Child Care and Development Fund, the program allows early educators to attend undergraduate courses at Virginia's accredited colleges.;http://www.dss.virginia.gov/family/cc/professionals_resources.cgi;Generic;Any Major
Virginia;Male;Virginia Commonwealth Award;Varies;"
The purpose of the Virginia Commonwealth Award is to assist undergraduate students with financial need and graduate students to pay part of their college costs. Funds may be used for need-based grants to Virginia resident undergraduates or for grants or assistantships to graduate students (both in-state and out-of-state)";http://www.schev.edu/index/tuition-aid/financialaid/state-student-aid/virginia-commonwealth-award-program;Generic;Any Major
Virginia;Male;Virginia Guaranteed Assistance Program;Varies;"
The purpose of the Virginia Guaranteed Assistance Program (VGAP) is to provide an incentive to financially needy students now attending elementary and secondary school in Virginia to raise their expectations and their academic performance and to consider higher education an achievable objective in their future.";http://www.schev.edu/index/tuition-aid/financialaid/state-student-aid/virginia-guaranteed-assistance-program;Generic;Any Major
Virginia;Male;Virginia Military Survivors and Dependents Education Program;Varies;"
The Virginia Military Survivors and Dependents Education Program (VMSDEP) is a Commonwealth of Virginia program which provides education benefits to spouses and children of military service members killed, missing in action, taken prisoner, or who became at least 90 percent disabled as a result of military service in an armed conflict.";https://www.dvs.virginia.gov/education-employment/virginia-military-survivors-and-dependents-education-program-2-2/;Generic;Any Major
Virginia;Male;Virginia Nursing Scholarships;Varies;"
The State of Virginia provides several scholarships to encourage the education of nurses to serve in underserved regions across the state.";http://www.vdh.virginia.gov/healthpolicy/primarycare/incentives/nursing/index.htm;Generic;Any Major
Virginia;Male;Virginia Part-Time Assistance Program;Varies;The purpose of the Virginia Part-Time Assistance Program is to assist undergraduate, part-time students with financial need to pay part of their college costs. The funds are appropriated directly to each of Virginia's community colleges. Funds may be used for need-based grants to Virginia resident undergraduates enrolled part-time.;http://www.schev.edu/docs/default-source/tuition-aid-section/financial-aid/ptap-fact-sheet.pdf;Generic;Any Major
Virginia;Male;Washington State Financial Aid;Varies;"
Washington state provides a combined application for various state-funded aid programs.";http://www.readysetgrad.org/wasfa;Generic;Any Major
Virginia;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
